date,predicted_price
20-07-2020,783.0970184
21-07-2020,783.4525328
22-07-2020,783.8082086
23-07-2020,784.1640459
24-07-2020,784.5200447
27-07-2020,784.8762051
28-07-2020,785.2325272
29-07-2020,785.5890111
30-07-2020,785.9456569
31-07-2020,786.3024645
03-08-2020,786.6594341
04-08-2020,787.0165658
05-08-2020,787.3738596
06-08-2020,787.7313157
07-08-2020,788.088934
10-08-2020,788.4467146
11-08-2020,788.8046577
12-08-2020,789.1627633
13-08-2020,789.5210315
14-08-2020,789.8794623
17-08-2020,790.2380558
18-08-2020,790.5968121
19-08-2020,790.9557313
20-08-2020,791.3148135
